doi,n_xyz_total,n_xyz_matched,n_leaves_total,n_leaves_with_any_label
10.1002/adfm.202214495,4,0,1,0
10.1002/adfm.202214588,1,0,1,0
10.1002/adfm.202214962,2,0,1,0
10.1002/adfm.202214983,1,0,1,0
10.1002/adfm.202214985,15,0,1,0
10.1002/adfm.202214987,1,0,1,0
10.1002/adfm.202215021,2,0,1,0
10.1002/adfm.202215151,5,0,1,0
10.1002/adfm.202215155,4,0,1,0
10.1002/adfm.202300309,3,0,1,0
10.1002/adfm.202300475,5,0,1,0
10.1002/adfm.202300625,1,0,1,0
10.1002/adfm.202300636,2,0,1,0
10.1002/adfm.202300687,5,0,1,0
10.1002/adfm.202300697,1,0,1,0
10.1002/adfm.202300954,1,0,1,0
10.1002/adfm.202301013,1,0,1,0
10.1002/adfm.202301311,2,0,1,0
10.1002/adfm.202301336,4,0,1,0
10.1002/adfm.202301343,4,0,1,0
10.1002/adfm.202301490,13,0,1,0
10.1002/adfm.202301677,1,0,1,0
10.1002/adfm.202301909,4,0,1,0
10.1002/adfm.202301929,3,0,1,0
10.1002/adfm.202301986,2,0,1,0
10.1002/adfm.202302003,1,0,1,0
10.1002/adfm.202302100,1,0,1,0
10.1002/adfm.202302236,1,0,1,0
10.1002/adfm.202302293,7,0,1,0
10.1002/adfm.202302297,2,0,1,0
10.1002/adfm.202302810,3,0,1,0
10.1002/adfm.202302824,4,0,1,0
10.1002/adfm.202303111,2,0,1,0
10.1002/adfm.202303235,1,0,1,0
10.1002/adfm.202303357,1,0,1,0
10.1002/adfm.202303812,8,0,1,0
10.1002/adfm.202303851,2,0,1,0
10.1002/adfm.202304397,3,0,1,0
10.1002/adfm.202304456,2,0,1,0
10.1002/adfm.202304499,2,0,1,0
10.1002/adfm.202304607,1,0,1,0
10.1002/adfm.202304798,1,0,1,0
10.1002/adfm.202305391,1,0,1,0
10.1002/adfm.202305735,1,0,1,0
10.1002/adfm.202305867,1,0,1,0
10.1002/adfm.202305948,1,0,1,0
10.1002/adfm.202305991,1,0,1,0
10.1002/adfm.202306098,5,0,1,0
10.1002/adfm.202306115,1,0,1,0
10.1002/adfm.202306367,14,0,1,0
10.1002/adfm.202306578,1,0,1,0
10.1002/adfm.202306889,1,0,1,0
10.1002/adfm.202307126,1,0,1,0
10.1002/adfm.202307162,1,0,1,0
10.1002/adfm.202307300,1,0,1,0
10.1002/adfm.202307390,3,0,1,0
10.1002/adfm.202307510,3,0,1,0
10.1002/adfm.202307733,3,0,1,0
10.1002/adfm.202308110,2,0,1,0
10.1002/adfm.202308227,2,0,1,0
10.1002/adfm.202308337,1,0,1,0
10.1002/adfm.202308345,2,0,1,0
10.1002/adfm.202308420,3,0,1,0
10.1002/adfm.202308534,7,0,1,0
10.1002/adfm.202308809,4,0,1,0
10.1002/adfm.202309226,7,0,1,0
10.1002/adfm.202309367,1,0,1,0
10.1002/adfm.202310226,1,0,1,0
10.1002/adfm.202310248,1,0,1,0
10.1002/adfm.202310312,1,0,1,0
10.1002/adfm.202310475,1,0,1,0
10.1002/adfm.202310566,4,0,1,0
10.1002/adfm.202310640,2,0,1,0
10.1002/adfm.202311226,1,0,1,0
10.1002/adfm.202311591,5,0,1,0
10.1002/adfm.202311618,2,0,1,0
10.1002/adfm.202311987,1,0,1,0
10.1002/adfm.202312308,3,0,1,0
10.1002/adfm.202312322,1,0,1,0
10.1002/adfm.202312589,16,0,1,0
10.1002/adfm.202313491,1,0,1,0
10.1002/adfm.202313695,1,0,1,0
10.1002/adfm.202313706,2,0,1,0
10.1002/adfm.202313742,4,0,1,0
10.1002/adfm.202313770,1,0,1,0
10.1002/adfm.202313897,3,0,1,0
10.1002/adfm.202313927,1,0,1,0
10.1002/adfm.202313974,1,0,1,0
10.1002/adfm.202314133,1,0,1,0
10.1002/adfm.202314160,2,0,1,0
10.1002/adfm.202314186,1,0,1,0
10.1002/adfm.202314262,5,0,1,0
10.1002/adfm.202314444,2,0,1,0
10.1002/adfm.202314499,1,0,1,0
10.1002/adfm.202314976,1,0,1,0
10.1002/adfm.202315079,1,0,1,0
10.1002/adfm.202315212,4,0,1,0
10.1002/adfm.202315215,5,0,1,0
10.1002/adfm.202315276,7,0,1,0
10.1002/adfm.202315437,6,0,1,0
10.1002/adfm.202315527,3,0,1,0
10.1002/adfm.202315548,1,0,1,0
10.1002/adfm.202315625,3,0,1,0
10.1002/adfm.202315674,1,0,1,0
10.1002/adfm.202315675,1,0,1,0
10.1002/adfm.202315734,1,0,1,0
10.1002/adfm.202315862,5,0,1,0
10.1002/adfm.202315935,1,0,1,0
10.1002/adfm.202316167,2,0,1,0
10.1002/adfm.202316199,9,0,1,0
10.1002/adfm.202316221,1,0,1,0
10.1002/adfm.202316238,1,0,1,0
10.1002/adfm.202316699,2,0,1,0
10.1002/adfm.202316719,1,0,1,0
10.1002/adfm.202316733,1,0,1,0
10.1002/adfm.202316773,1,0,1,0
10.1002/adfm.202316788,1,1,1,1
10.1002/adfm.202316849,1,0,1,0
10.1002/adfm.202400020,3,0,1,0
10.1002/adfm.202400105,1,0,1,0
10.1002/adfm.202400107,4,0,1,0
10.1002/adfm.202400110,2,0,1,0
10.1002/adfm.202400195,1,0,1,0
10.1002/adfm.202400436,1,0,1,0
10.1002/adfm.202400519,1,0,1,0
10.1002/adfm.202400809,1,0,1,0
10.1002/adfm.202401134,1,0,1,0
10.1002/adfm.202401452,2,0,1,0
10.1002/adfm.202401484,1,0,1,0
10.1002/adfm.202401509,1,0,1,0
10.1002/adfm.202402220,3,0,1,0
10.1002/adfm.202402226,1,0,1,0
10.1002/adfm.202402398,1,0,1,0
10.1002/adfm.202402416,1,0,1,0
10.1002/adfm.202402537,12,0,1,0
10.1002/adfm.202402544,1,0,1,0
10.1002/adfm.202402649,8,0,1,0
10.1002/adfm.202403104,1,0,1,0
10.1002/adfm.202403149,1,0,1,0
10.1002/adfm.202403680,4,0,1,0
10.1002/adfm.202403810,1,0,1,0
10.1002/adfm.202403922,1,0,1,0
10.1002/adfm.202403948,2,0,1,0
10.1002/adfm.202404123,1,0,1,0
10.1002/adfm.202404148,12,0,1,0
10.1002/adfm.202404263,1,0,1,0
10.1002/adfm.202404274,3,0,1,0
10.1002/adfm.202404278,2,0,1,0
10.1002/adfm.202404594,2,0,1,0
10.1002/adfm.202405919,2,0,1,0
10.1002/adfm.202406430,1,0,1,0
10.1002/adfm.202407078,5,0,1,0
10.1002/adfm.202407143,1,0,1,0
10.1002/adfm.202407349,4,0,1,0
10.1002/adfm.202408257,4,0,1,0
10.1002/adfm.202408411,1,0,1,0
10.1002/adfm.202408982,7,0,1,0
10.1002/adfm.202410379,2,0,1,0
10.1002/adfm.202411077,1,0,1,0
10.1002/adfm.202412712,2,0,1,0
10.1002/adfm.202413297,1,0,1,0
10.1002/adfm.202413319,35,0,1,0
10.1002/adfm.202413951,1,0,1,0
10.1002/adfm.202414842,1,0,1,0
10.1002/adfm.202414935,1,0,1,0
10.1002/adfm.202415326,1,0,1,0
10.1002/adfm.202415854,6,0,1,0
10.1002/adfm.202416658,9,0,1,0
10.1002/adfm.202417834,2,0,1,0
10.1002/adfm.202417883,16,0,1,0
10.1002/adfm.202417983,3,0,1,0
10.1002/adfm.202418098,1,0,1,0
10.1002/adfm.202423288,13,0,1,0
10.1002/adfm.202425207,2,0,1,0
10.1002/adfm.202425499,3,0,1,0
10.1002/adfm.202425912,4,0,1,0
10.1002/adfm.202501485,2,0,1,0
10.1002/adfm.202505282,1,0,1,0
10.1002/adma.200602184,4,0,1,0
10.1002/adma.200903436,1,0,1,0
10.1002/adma.201101848,2,0,1,0
10.1002/adma.201204738,45,6,1,1
10.1002/adma.201301492,5,0,1,0
10.1002/adma.201302753,1,0,1,0
10.1002/adma.201305040,3,0,1,0
10.1002/adma.201401203,2,0,1,0
10.1002/adma.201402415,1,0,1,0
10.1002/adma.201500322,5,0,1,0
10.1002/adma.201504601,1,0,1,0
10.1002/adma.201601406,1,0,1,0
10.1002/adma.201606814,2,0,1,0
10.1002/adma.201606929,2,0,1,0
10.1002/adma.201606945,4,0,1,0
10.1002/adma.201700183,5,0,1,0
10.1002/adma.201700587,1,0,1,0
10.1002/adma.201700681,1,0,1,0
10.1002/adma.201702428,3,0,1,0
10.1002/adma.201702884,1,0,1,0
10.1002/adma.201703258,3,0,1,0
10.1002/adma.201705197,1,0,1,0
10.1002/adma.201705369,2,0,1,0
10.1002/adma.201705479,2,0,1,0
10.1002/adma.201705941,1,0,1,0
10.1002/adma.201705979,6,0,1,0
10.1002/adma.201707301,1,0,1,0
10.1002/adma.201800588,2,0,1,0
10.1002/adma.201803075,2,0,1,0
10.1002/adma.201803339,2,0,1,0
10.1002/adma.201803351,2,0,1,0
10.1002/adma.201803551,1,0,1,0
10.1002/adma.201804231,3,0,1,0
10.1002/adma.201804341,1,0,1,0
10.1002/adma.201804504,3,0,1,0
10.1002/adma.201805127,4,0,1,0
10.1002/adma.201805188,2,0,1,0
10.1002/adma.201805220,1,0,1,0
10.1002/adma.201805581,5,0,1,0
10.1002/adma.201806088,1,0,1,0
10.1002/adma.201807388,1,0,1,0
10.1002/adma.201807540,2,0,1,0
10.1002/adma.201807780,4,0,1,0
10.1002/adma.201807825,1,0,1,0
10.1002/adma.201808193,2,0,1,0
10.1002/adma.201900008,3,0,1,0
10.1002/adma.201900060,2,0,1,0
10.1002/adma.201900323,2,0,1,0
10.1002/adma.201900668,1,0,1,0
10.1002/adma.201900699,6,0,1,0
10.1002/adma.201901402,12,0,1,0
10.1002/adma.201903309,1,0,1,0
10.1002/adma.201903559,1,0,1,0
10.1002/adma.201903691,1,0,1,0
10.1002/adma.201903841,1,0,1,0
10.1002/adma.201903955,2,0,1,0
10.1002/adma.201904249,4,0,1,0
10.1002/adma.201904346,13,0,1,0
10.1002/adma.201904427,1,0,1,0
10.1002/adma.201904816,6,0,1,0
10.1002/adma.201905288,7,0,1,0
10.1002/adma.201905578,1,0,1,0
10.1002/adma.201905622,1,0,1,0
10.1002/adma.201905988,2,0,1,0
10.1002/adma.201906193,2,0,1,0
10.1002/adma.201906700,1,0,1,0
10.1002/adma.201906905,1,0,1,0
10.1002/adma.201907526,1,0,1,0
10.1002/adma.201907557,1,0,1,0
10.1002/adma.201907786,2,0,1,0
10.1002/adma.201908243,15,0,1,0
10.1002/adma.202000299,3,0,1,0
10.1002/adma.202000380,7,0,1,0
10.1002/adma.202000474,1,1,1,1
10.1002/adma.202000496,1,0,1,0
10.1002/adma.202000607,1,0,1,0
10.1002/adma.202000608,15,0,1,0
10.1002/adma.202000693,2,0,1,0
10.1002/adma.202000936,1,0,1,0
10.1002/adma.202001592,2,0,1,0
10.1002/adma.202001894,4,0,1,0
10.1002/adma.202002177,6,0,1,0
10.1002/adma.202002403,4,0,1,0
10.1002/adma.202002430,6,0,1,0
10.1002/adma.202003082,1,0,1,0
10.1002/adma.202003484,1,0,1,0
10.1002/adma.202003577,2,0,1,0
10.1002/adma.202004374,1,0,1,0
10.1002/adma.202004490,2,0,1,0
10.1002/adma.202004630,1,0,1,0
10.1002/adma.202005113,4,0,1,0
10.1002/adma.202005159,1,1,1,1
10.1002/adma.202005504,3,0,1,0
10.1002/adma.202006118,4,0,1,0
10.1002/adma.202006120,2,0,1,0
10.1002/adma.202006753,1,0,1,0
10.1002/adma.202006780,1,0,1,0
10.1002/adma.202006832,5,0,1,0
10.1002/adma.202006908,1,0,1,0
10.1002/adma.202007406,1,0,1,0
10.1002/adma.202007529,1,0,1,0
10.1002/adma.202007894,2,0,1,0
10.1002/adma.202008032,3,0,1,0
10.1002/adma.202008194,2,0,1,0
10.1002/adma.202008316,1,0,1,0
10.1002/adma.202100185,31,10,1,1
10.1002/adma.202100272,1,0,1,0
10.1002/adma.202101015,3,0,1,0
10.1002/adma.202101126,2,0,1,0
10.1002/adma.202101204,2,0,1,0
10.1002/adma.202101279,1,0,1,0
10.1002/adma.202102212,7,0,1,0
10.1002/adma.202102246,1,0,1,0
10.1002/adma.202102595,1,0,1,0
10.1002/adma.202102935,1,1,1,1
10.1002/adma.202103150,2,0,1,0
10.1002/adma.202103210,6,0,1,0
10.1002/adma.202103600,4,0,1,0
10.1002/adma.202104404,1,0,1,0
10.1002/adma.202104891,1,0,1,0
10.1002/adma.202105170,1,0,1,0
10.1002/adma.202105248,5,0,1,0
10.1002/adma.202105400,2,0,1,0
10.1002/adma.202106370,1,0,1,0
10.1002/adma.202106954,6,0,1,0
10.1002/adma.202107040,1,0,1,0
10.1002/adma.202107088,4,0,1,0
10.1002/adma.202107103,1,0,1,0
10.1002/adma.202107226,1,0,1,0
10.1002/adma.202107425,1,0,1,0
10.1002/adma.202107548,1,0,1,0
10.1002/adma.202107638,2,0,1,0
10.1002/adma.202107779,1,0,1,0
10.1002/adma.202107836,1,0,1,0
10.1002/adma.202108541,2,0,1,0
10.1002/adma.202109074,3,0,1,0
10.1002/adma.202109188,2,0,1,0
10.1002/adma.202109605,1,0,1,0
10.1002/adma.202109767,1,0,1,0
10.1002/adma.202110048,6,0,1,0
10.1002/adma.202110108,1,0,1,0
10.1002/adma.202110172,2,0,1,0
10.1002/adma.202110696,1,0,1,0
10.1002/adma.202200276,1,0,1,0
10.1002/adma.202200302,2,0,1,0
10.1002/adma.202200350,6,0,1,0
10.1002/adma.202200544,4,0,1,0
10.1002/adma.202200626,1,0,1,0
10.1002/adma.202200643,1,0,1,0
10.1002/adma.202201152,8,0,1,0
10.1002/adma.202201353,2,0,1,0
10.1002/adma.202201853,1,0,1,0
10.1002/adma.202202301,1,0,1,0
10.1002/adma.202202333,4,0,1,0
10.1002/adma.202202544,7,0,1,0
10.1002/adma.202202733,2,0,1,0
10.1002/adma.202202891,1,0,1,0
10.1002/adma.202202995,6,0,1,0
10.1002/adma.202203030,1,0,1,0
10.1002/adma.202203204,1,0,1,0
10.1002/adma.202203309,3,0,1,0
10.1002/adma.202203413,3,0,1,0
10.1002/adma.202203417,2,0,1,0
10.1002/adma.202203420,6,0,1,0
10.1002/adma.202203605,1,0,1,0
10.1002/adma.202203615,2,0,1,0
10.1002/adma.202203621,2,0,1,0
10.1002/adma.202203954,2,0,1,0
10.1002/adma.202204132,1,0,1,0
10.1002/adma.202204247,2,0,1,0
10.1002/adma.202204253,6,0,1,0
10.1002/adma.202204570,1,0,1,0
10.1002/adma.202204681,9,1,1,1
10.1002/adma.202204810,1,0,1,0
10.1002/adma.202205186,4,0,1,0
10.1002/adma.202205324,1,0,1,0
10.1002/adma.202205994,3,0,1,0
10.1002/adma.202206351,4,0,1,0
10.1002/adma.202206450,11,0,1,0
10.1002/adma.202206594,6,0,1,0
10.1002/adma.202206685,2,0,1,0
10.1002/adma.202206960,2,0,1,0
10.1002/adma.202207041,26,0,1,0
10.1002/adma.202207131,8,0,1,0
10.1002/adma.202207280,8,0,1,0
10.1002/adma.202207466,1,0,1,0
10.1002/adma.202207835,1,0,1,0
10.1002/adma.202207916,1,0,1,0
10.1002/adma.202207970,3,2,1,1
10.1002/adma.202208533,2,0,1,0
10.1002/adma.202208625,1,0,1,0
10.1002/adma.202208665,3,0,1,0
10.1002/adma.202208704,4,0,1,0
